สถาบัน,ชื่อหลักสูตร,ค่าใช้จ่าย,ลิงก์
สถาบันเทคโนโลยีจิตรลดา,วิศวกรรมคอมพิวเตอร์,"31,500 บาท/เทอม",https://course.mytcas.com/programs/10350103300501A
มหาวิทยาลัยราชภัฏพิบูลสงคราม,วิศวกรรมคอมพิวเตอร์,"12,000 บาท/เทอม",https://course.mytcas.com/programs/21520106300501A
มหาวิทยาลัยราชภัฏสวนสุนันทา,วิศวกรรมคอมพิวเตอร์,"18,500 บาท/เทอม",https://course.mytcas.com/programs/21660105300516A
มหาวิทยาลัยราชภัฏอุบลราชธานี,วิศวกรรมคอมพิวเตอร์,"72,610 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/21710105300590A
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์(ครุศาสตร์อุตสาหกรรมคอมพิวเตอร์),"14,000 บาท/เทอม",https://course.mytcas.com/programs/31910102700901A
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,"20,000 บาท/เทอม",https://course.mytcas.com/programs/31910104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,วิศวกรรมคอมพิวเตอร์และระบบไอที,"11,700 บาท/เทอม",https://course.mytcas.com/programs/31920104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร พระนครเหนือ,วิศวกรรมคอมพิวเตอร์,"15,000 บาท/เทอม",https://course.mytcas.com/programs/31940504300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ ศาลายา,วิศวกรรมคอมพิวเตอร์,"12,000 บาท/เทอม",https://course.mytcas.com/programs/31950101300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วังไกลกังวล,วิศวกรรมคอมพิวเตอร์,"15,000 บาท/เทอม",https://course.mytcas.com/programs/31950203300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมคอมพิวเตอร์,"110,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/31970104300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง,วิศวกรรมคอมพิวเตอร์,"110,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/31970615300501A
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,วิศวกรรมคอมพิวเตอร์,"12,000 บาท/เทอม",https://course.mytcas.com/programs/31990103300501A
